"cod_cidade";"nom_cidade"
848;"BREJO DO CRUZ"
849;"BREJO DOS SANTOS"
850;"BREJOES"
851;"BREJO GRANDE DO ARAGUAIA"
852;"BREJOLANDIA"
853;"BREJO SANTO"
854;"BREU BRANCO"
855;"BREVES"
856;"BRITANIA"
857;"BROCHIER"
859;"BROTAS"
860;"BROTAS DE MACAUBAS"
861;"BRUMADINHO"
862;"BRUMADO"
863;"BRUNOPOLIS"
864;"BRUSQUE"
865;"BUENO BRANDAO"
866;"BUENOPOLIS"
867;"BUENOS AIRES"
868;"BUERAREMA"
869;"BUGRE"
870;"BUIQUE"
871;"BUJARI"
872;"BUJARU"
873;"BURI"
874;"BURITAMA"
875;"BURITI"
876;"BURITI ALEGRE"
877;"BURITI BRAVO"
878;"BURITICUPU"
879;"BURITI DE GOIAS"
880;"BURITI DOS LOPES"
881;"BURITI DOS MONTES"
882;"BURITI DO TOCANTINS"
883;"BURITIRAMA"
884;"BURITIRAMA"
885;"BURITIS"
886;"BURITIS"
887;"BURITIZAL"
888;"BURITIZEIRO"
889;"BUTIA"
890;"CAAPORA"
891;"CAARAPO"
892;"CAATIBA"
893;"CABACEIRAS"
894;"CABACEIRAS DO PARAGUACU"
895;"CABECEIRA GRANDE"
896;"CABECEIRAS"
897;"CABECEIRAS DO PIAUI"
898;"CABEDELO"
899;"CABIXI"
900;"CABO DE SANTO AGOSTINHO"
901;"CABO FRIO"
902;"CABO VERDE"
903;"CABRALIA PAULISTA"
904;"CABREUVA"
905;"CABROBO"
906;"CACADOR"
907;"CACAPAVA"
908;"CACAPAVA DO SUL"
909;"CACAULANDIA"
910;"CACEQUI"
911;"CACERES"
912;"CACHOEIRA"
913;"CACHOEIRA ALTA"
914;"CACHOEIRA DA PRATA"
915;"CACHOEIRA DE GOIAS"
916;"CACHOEIRA DE MINAS"
917;"CACHOEIRA DE PAJEU"
918;"CACHOEIRA DO ARARI"
919;"CACHOEIRA DOS INDIOS"
920;"CACHOEIRA DO SUL"
921;"CACHOEIRA DOURADA"
922;"CACHOEIRA DOURADA"
923;"CACHOEIRA PAULISTA"
924;"CACHOEIRAS DE MACACU"
925;"CACHOEIRINHA"
926;"CACHOEIRINHA"
927;"CACHOEIRO DE ITAPEMIRIM"
928;"CACIMBA DE DENTRO"
929;"CACIMBINHAS"
930;"CACIQUE DOBLE"
931;"CACOAL"
932;"CACONDE"
933;"CACU"
934;"CACULE"
935;"CAEM"
936;"CAETANOPOLIS"
937;"CAETE"
938;"CAETES"
939;"CAETITE"
940;"CAFARNAUM"
941;"CAFEARA"
942;"CAFELANDIA"
943;"CAFELANDIA"
944;"CAFEZAL DO SUL"
945;"CAIABU"
946;"CAIANA"
947;"CAIAPONIA"
948;"CAIBATE"
949;"CAIBI"
950;"CAICARA"
951;"CAICARA"
952;"CAICARA DO NORTE"
953;"CAICO"
954;"CAIEIRAS"
955;"CAIUA"
956;"CAJAMAR"
957;"CAJAPIO"
958;"CAJATI"
959;"CAJAZEIRAS"
960;"CAJAZEIRINHAS"
961;"CAJOBI"
962;"CAJUEIRO"
963;"CAJURI"
965;"CALCADO"
966;"CALCOENE"
967;"CALDAS"
968;"CALDAS BRANDAO"
969;"CALDAS NOVAS"
970;"CALDAZINHA"
971;"CALDEIRAO GRANDE"
972;"CALIFORNIA"
973;"CALMON"
974;"CALUMBI"
975;"CAMACAN"
976;"CAMACARI"
977;"CAMALAU"
978;"CAMAMU"
979;"CAMANDUCAIA"
980;"CAMAPUA"
981;"CAMAQUA"
982;"CAMARAGIBE"
983;"CAMARGO"
984;"CAMBARA"
985;"CAMBARA DO SUL"
986;"CAMBE"
987;"CAMBIRA"
988;"CAMBORIU"
989;"CAMBUCI"
990;"CAMBUI"
991;"CAMBUQUIRA"
992;"CAMETA"
993;"CAMOCIM"
994;"CAMOCIM DE SAO FELIX"
995;"CAMPANARIO"
996;"CAMPANHA"
997;"CAMPESTRE"
998;"CAMPESTRE"
999;"CAMPESTRE DA SERRA"
1.000;"CAMPESTRE DO MARANHAO"
1.001;"CAMPINACU"
1.002;"CAMPINA DA LAGOA"
1.003;"CAMPINA DAS MISSOES"
1.004;"CAMPINA DO MONTE ALEGRE"
1.005;"CAMPINA DO SIMAO"
1.006;"CAMPINA GRANDE"
1.007;"CAMPINA GRANDE DO SUL"
1.008;"CAMPINAPOLIS"
1.009;"CAMPINAS"
1.010;"CAMPINAS DO PIAUI"
1.011;"CAMPINAS DO SUL"
1.012;"CAMPINA VERDE"
1.013;"CAMPINORTE"
1.014;"CAMPO ALEGRE"
1.015;"CAMPO ALEGRE"
1.016;"CAMPO ALEGRE DE GOIAS"
1.017;"CAMPO ALEGRE DE LOURDES"
1.018;"CAMPO ALEGRE DO FIDALGO"
1.019;"CAMPO AZUL"
1.020;"CAMPO BELO"
1.021;"CAMPO BELO DO SUL"
1.022;"CAMPO BOM"
1.023;"CAMPO BONITO"
1.024;"CAMPO DE SANTANA"
1.025;"CAMPO DO BRITO"
1.026;"CAMPO DO MEIO"
1.027;"CAMPO DO TENENTE"
1.028;"CAMPO ERE"
1.029;"CAMPO FLORIDO"
1.030;"CAMPO FORMOSO"
1.031;"CAMPO GRANDE"
1.032;"CAMPO GRANDE"
1.033;"CAMPO GRANDE DO PIAUI"
1.034;"CAMPO LARGO"
1.035;"CAMPO LIMPO"
1.036;"CAMPO LIMPO PAULISTA"
1.037;"CAMPO MAGRO"
1.038;"CAMPO MAIOR"
1.039;"CAMPO MOURAO"
1.040;"CAMPO NOVO"
1.041;"CAMPO NOVO DE RONDONIA"
1.042;"CAMPO NOVO DO PARECIS"
